Number of Vertices,Dijkstra's Algorithm Time,Dijkstra's_with_end Algorithm Time,Bellman-Ford Algorithm Time,Bellman-Ford Algorithm_with_end Time,Bellman-Ford Optimized Algorithm Time,Bellman-Ford Optimized_with_end Algorithm Time
5,3.23E-05,1.65E-05,7.29E-05,4.61E-05,4.40E-05,2.24E-05
10,3.81E-05,2.69E-05,0.0003575,0.0001245,0.0001857,5.47E-05
15,5.90E-05,4.83E-05,0.0012248,0.0003576,0.0003484,0.0001164
20,8.97E-05,4.13E-05,0.0028417,0.0005361,0.0008663,0.0001429
25,0.0001248,5.61E-05,0.0057772,0.0014865,0.0011395,0.000421
30,0.0001761,3.69E-05,0.0120715,0.0010035,0.0013543,0.000404
35,0.0002315,0.0001785,0.0154793,0.0008588,0.0033793,0.0005301
40,0.0002721,0.0002208,0.0239698,0.0019558,0.0026237,0.0007427
45,0.0003294,0.0001779,0.0330895,0.0023892,0.0032482,0.0008924
50,0.0003809,0.0001247,0.0469796,0.0029622,0.0038543,0.001129
55,0.0004465,0.0002977,0.0596199,0.0045145,0.0046943,0.0013684
60,0.0005078,0.0003653,0.078928,0.0045713,0.0060848,0.0015039
65,0.0006037,0.0005742,0.1012967,0.0056363,0.0074077,0.0022628
70,0.0007429,0.000171,0.1236982,0.0034086,0.0089184,0.0018985
75,0.0007421,0.00044,0.1562968,0.0066787,0.0086615,0.0026237
80,0.0009365,0.0005961,0.1873552,0.0072555,0.0104478,0.0030744
85,0.001009,0.0004409,0.2246062,0.0106585,0.0109036,0.003037
90,0.0010472,0.0003056,0.2707399,0.0119326,0.0121887,0.0030418
95,0.0011701,0.0006598,0.3182124,0.0097423,0.0137871,0.003809
100,0.0012367,0.0008689,0.3664556,0.011658,0.0161046,0.0046274
105,0.0014688,0.0010827,0.4506657,0.0157304,0.0176653,0.004183
110,0.0013949,0.0008245,0.4916711,0.013442,0.018502,0.0049362
115,0.00153,0.001308,0.5528102,0.0141689,0.0198387,0.005219
120,0.0018506,0.0012917,0.6343519,0.0209622,0.0210222,0.0055425
125,0.0018457,0.0012297,0.7829413,0.0175694,0.0241249,0.0070468
130,0.0019342,0.0001321,0.8229402,0.019111,0.0260861,0.0073508
135,0.0024042,0.0013314,0.9022001,0.0204952,0.0286178,0.0081538
140,0.0022217,0.0014491,1.0107029,0.0286203,0.0293832,0.0075871
145,0.0024136,0.0012391,1.1201545,0.0310119,0.0351958,0.0094749
150,0.0027649,0.0018634,1.2316327,0.0233696,0.0330799,0.0081306
155,0.0027428,0.0015298,1.4534724,0.0269248,0.0369304,0.0104252
160,0.0028685,0.0012582,1.5152696,0.0295995,0.0430428,0.0123849
165,0.0031304,0.002501,1.655531,0.0422125,0.0425044,0.0102159
170,0.0034066,0.0013402,1.8067724,0.0310684,0.0426016,0.010888
175,0.0033807,0.000994,2.0685093,0.0356554,0.0477168,0.0141203
180,0.003594,0.0027807,2.1530128,0.0369526,0.0504731,0.0146681
185,0.0038301,0.0027853,2.3666611,0.0379142,0.0513762,0.013889
190,0.0039013,0.0030904,2.67079,0.0376871,0.0528565,0.0127307
195,0.0041632,0.001151,2.7272798,0.0547976,0.0566454,0.0150224
200,0.0043224,0.0013531,3.0282936,0.0447309,0.0609655,0.0170806
